Point,Y,X,Status,Description,Date of survey
P2,97538.004,2247107.872,F,50mm Iron Pipe in Concrete,1/10/2025
ZA,96271.08,2247869.919,F,50mm Iron Pipe in Concrete,1/10/2025
ZD,96551.464,2248065.632,F,50mm Iron Pipe in Concrete,1/10/2025
ZE,96649.178,2247915.001,F,50mm Iron Pipe in Concrete,1/10/2025
ZG,97128.263,2248259.159,F,50mm Iron Pipe in Concrete,1/10/2025
2283A,97057.022,2247854.388,P,12mm iron peg in concrete,1/10/2025
2283L,96831.6,2248046.047,P,12mm iron peg in concrete,1/10/2025
2283M,96865.86,2247999.302,P,12mm iron peg in concrete,1/10/2025
2283N,96928.62,2248005.705,P,12mm iron peg in concrete,1/10/2025
2283P,96964.339,2248030.193,P,12mm iron peg in concrete,1/10/2025
2283Q,97005.919,2247969.542,P,12mm iron peg in concrete,1/10/2025
2283R,97083.215,2248022.533,P,12mm iron peg in concrete,1/10/2025
2283S,97113.497,2247983.084,P,12mm iron peg in concrete,1/10/2025
2283T,97129.972,2247972.947,P,12mm iron peg in concrete,1/10/2025
2284A,96773.699,2247986.281,P,12mm iron peg in concrete,1/10/2025
2284B,96756.848,2247992.348,P,12mm iron peg in concrete,1/10/2025
2284C,96789.661,2248015.919,P,12mm iron peg in concrete,1/10/2025
2285A,96780.288,2247980.9,P,12mm iron peg in concrete,1/10/2025
2285C,96796.898,2248011.68,P,12mm iron peg in concrete,1/10/2025
2286A,96786.877,2247975.519,P,12mm iron peg in concrete,1/10/2025
2286C,96815.393,2248000.847,P,12mm iron peg in concrete,1/10/2025
2286D,96825.068,2247978.603,P,12mm iron peg in concrete,1/10/2025
2287A,96813.668,2247958.659,P,12mm iron peg in concrete,1/10/2025
2287B,96787.582,2247972.556,P,12mm iron peg in concrete,1/10/2025
2288A,96806.182,2247946.024,P,12mm iron peg in concrete,1/10/2025
2288B,96786.537,2247959.226,P,12mm iron peg in concrete,1/10/2025
2288C,96789.49,2247964.547,P,12mm iron peg in concrete,1/10/2025
2289A,96800.663,2247935.866,P,12mm iron peg in concrete,1/10/2025
2289B,96779.934,2247947.887,P,12mm iron peg in concrete,1/10/2025
2290A,96793.071,2247924.297,P,12mm iron peg in concrete,1/10/2025
2290B,96772.768,2247935.115,P,12mm iron peg in concrete,1/10/2025
2291A,96789.2,2247915.534,P,12mm iron peg in concrete,1/10/2025
2291B,96777.426,2247916.082,P,12mm iron peg in concrete,1/10/2025
2291C,96760.965,2247916.795,P,12mm iron peg in concrete,1/10/2025
2292A,96776.455,2247894.847,P,12mm iron peg in concrete,1/10/2025
2292B,96757.503,2247896.204,P,12mm iron peg in concrete,1/10/2025
2292C,96755.721,2247902.42,P,12mm iron peg in concrete,1/10/2025
2293A,96788.45,2247893.988,P,12mm iron peg in concrete,1/10/2025
2294A,96800.956,2247893.535,P,12mm iron peg in concrete,1/10/2025
2295A,96817.287,2247891.924,P,12mm iron peg in concrete,1/10/2025
2295E,96820.981,2247894.869,P,12mm iron peg in concrete,1/10/2025
2296A,96821.797,2247912.883,P,12mm iron peg in concrete,1/10/2025
2296B,96801.392,2247914.343,P,12mm iron peg in concrete,1/10/2025
2297A,96830.603,2247921.178,P,12mm iron peg in concrete,1/10/2025
2297B,96821.449,2247920.984,P,12mm iron peg in concrete,1/10/2025
2297C,96803.257,2247940.64,P,12mm iron peg in concrete,1/10/2025
2298A,96842.622,2247921.432,P,12mm iron peg in concrete,1/10/2025
2298C,96830.179,2247941.21,P,12mm iron peg in concrete,1/10/2025
2299A,96854.641,2247921.686,P,12mm iron peg in concrete,1/10/2025
2299C,96842.198,2247941.464,P,12mm iron peg in concrete,1/10/2025
2300A,96866.66,2247921.941,P,12mm iron peg in concrete,1/10/2025
2300C,96854.217,2247941.718,P,12mm iron peg in concrete,1/10/2025
2300D,96866.236,2247941.972,P,12mm iron peg in concrete,1/10/2025
2301A,96881.359,2247923.871,P,12mm iron peg in concrete,1/10/2025
2301B,96870.239,2247922.016,P,12mm iron peg in concrete,1/10/2025
2301E,96868.37,2247942.018,P,12mm iron peg in concrete,1/10/2025
2302A,96897.206,2247926.669,P,12mm iron peg in concrete,1/10/2025
2302C,96878.063,2247943.634,P,12mm iron peg in concrete,1/10/2025
2303A,96908.415,2247931.013,P,12mm iron peg in concrete,1/10/2025
2303C,96891.183,2247945.823,P,12mm iron peg in concrete,1/10/2025
2304A,96919.624,2247935.358,P,12mm iron peg in concrete,1/10/2025
2304C,96901.173,2247949.695,P,12mm iron peg in concrete,1/10/2025
2305A,96930.833,2247939.703,P,12mm iron peg in concrete,1/10/2025
2305C,96912.382,2247954.04,P,12mm iron peg in concrete,1/10/2025
2306A,96942.042,2247944.048,P,12mm iron peg in concrete,1/10/2025
2306C,96923.591,2247958.385,P,12mm iron peg in concrete,1/10/2025
2306D,96934.8,2247962.73,P,12mm iron peg in concrete,1/10/2025
2307A,96950.396,2247944.951,P,12mm iron peg in concrete,1/10/2025
2307B,96945.027,2247945.205,P,12mm iron peg in concrete,1/10/2025
2307E,96938.698,2247964.241,P,12mm iron peg in concrete,1/10/2025
2308A,96962.405,2247944.383,P,12mm iron peg in concrete,1/10/2025
2308C,96951.177,2247963.721,P,12mm iron peg in concrete,1/10/2025
2309A,96974.413,2247943.815,P,12mm iron peg in concrete,1/10/2025
2309C,96963.189,2247963.222,P,12mm iron peg in concrete,1/10/2025
2310A,96986.422,2247943.247,P,12mm iron peg in concrete,1/10/2025
2310C,96975.2,2247962.722,P,12mm iron peg in concrete,1/10/2025
2311A,96998.43,2247942.679,P,12mm iron peg in concrete,1/10/2025
2311C,96987.211,2247962.222,P,12mm iron peg in concrete,1/10/2025
2312A,97010.439,2247942.112,P,12mm iron peg in concrete,1/10/2025
2312C,96999.223,2247961.722,P,12mm iron peg in concrete,1/10/2025
2313A,97022.447,2247941.544,P,12mm iron peg in concrete,1/10/2025
2313C,97011.234,2247961.222,P,12mm iron peg in concrete,1/10/2025
2314A,97034.456,2247940.976,P,12mm iron peg in concrete,1/10/2025
2314C,97023.245,2247960.722,P,12mm iron peg in concrete,1/10/2025
2315A,97043.4,2247940.553,P,12mm iron peg in concrete,1/10/2025
2315C,97035.256,2247960.223,P,12mm iron peg in concrete,1/10/2025
2315D,97064.135,2247959.021,P,12mm iron peg in concrete,1/10/2025
2316A,97062.209,2247930.69,P,12mm iron peg in concrete,1/10/2025
2316B,97042.815,2247932.008,P,12mm iron peg in concrete,1/10/2025
2317A,97061.393,2247918.696,P,12mm iron peg in concrete,1/10/2025
2317B,97041.993,2247920.015,P,12mm iron peg in concrete,1/10/2025
2318A,97060.578,2247906.702,P,12mm iron peg in concrete,1/10/2025
2318B,97041.171,2247908.021,P,12mm iron peg in concrete,1/10/2025
2319A,97059.763,2247894.708,P,12mm iron peg in concrete,1/10/2025
2319B,97040.349,2247896.028,P,12mm iron peg in concrete,1/10/2025
2320A,97058.947,2247882.714,P,12mm iron peg in concrete,1/10/2025
2320B,97039.527,2247884.034,P,12mm iron peg in concrete,1/10/2025
2321A,97058.132,2247870.72,P,12mm iron peg in concrete,1/10/2025
2321B,97038.706,2247872.041,P,12mm iron peg in concrete,1/10/2025
2322A,97057.317,2247858.726,P,12mm iron peg in concrete,1/10/2025
2322B,97037.884,2247860.047,P,12mm iron peg in concrete,1/10/2025
2323A,97000.245,2247762.113,P,12mm iron peg in concrete,1/10/2025
2323B,96997.854,2247761.525,P,12mm iron peg in concrete,1/10/2025
2323C,96997.107,2247765.413,P,12mm iron peg in concrete,1/10/2025
2323D,97032.978,2247824.107,P,12mm iron peg in concrete,1/10/2025
2323E,97037.252,2247850.829,P,12mm iron peg in concrete,1/10/2025
2324A,96923.851,2247913.134,P,12mm iron peg in concrete,1/10/2025
2324B,96904.812,2247913.605,P,12mm iron peg in concrete,1/10/2025
2324C,96889.289,2247913.99,P,12mm iron peg in concrete,1/10/2025
2324D,96889.427,2247917.009,P,12mm iron peg in concrete,1/10/2025
2325A,96942.432,2247911.732,P,12mm iron peg in concrete,1/10/2025
2325C,96922.389,2247927.971,P,12mm iron peg in concrete,1/10/2025
2326A,96961,2247910.801,P,12mm iron peg in concrete,1/10/2025
2326C,96941.598,2247935.434,P,12mm iron peg in concrete,1/10/2025
2326D,96950.349,2247936.83,P,12mm iron peg in concrete,1/10/2025
2327A,96978.918,2247909.902,P,12mm iron peg in concrete,1/10/2025
2327C,96962.413,2247936.193,P,12mm iron peg in concrete,1/10/2025
2328A,96997.792,2247908.407,P,12mm iron peg in concrete,1/10/2025
2328C,96980.383,2247935.643,P,12mm iron peg in concrete,1/10/2025
2329A,97016.526,2247906.923,P,12mm iron peg in concrete,1/10/2025
2329C,96999.033,2247934.642,P,12mm iron peg in concrete,1/10/2025
2330A,97036.366,2247905.351,P,12mm iron peg in concrete,1/10/2025
2330C,97018.012,2247933.623,P,12mm iron peg in concrete,1/10/2025
2330D,97033.029,2247932.817,P,12mm iron peg in concrete,1/10/2025
2330E,97036.927,2247928.604,P,12mm iron peg in concrete,1/10/2025
2331A,97030.89,2247883.019,P,12mm iron peg in concrete,1/10/2025
2331E,97036,2247890.15,P,12mm iron peg in concrete,1/10/2025
2332A,97015.235,2247883.733,P,12mm iron peg in concrete,1/10/2025
2333A,96996.657,2247884.405,P,12mm iron peg in concrete,1/10/2025
2334A,96977.713,2247885.535,P,12mm iron peg in concrete,1/10/2025
2335A,96959.62,2247886.02,P,12mm iron peg in concrete,1/10/2025
2336A,96941.722,2247886.948,P,12mm iron peg in concrete,1/10/2025
2337A,96922.611,2247887.929,P,12mm iron peg in concrete,1/10/2025
2338A,96902.77,2247888.727,P,12mm iron peg in concrete,1/10/2025
2339A,96888.176,2247889.728,P,12mm iron peg in concrete,1/10/2025
2339C,96868.633,2247914.501,P,12mm iron peg in concrete,1/10/2025
2340A,96866.86,2247890.386,P,12mm iron peg in concrete,1/10/2025
2340C,96850.468,2247915.198,P,12mm iron peg in concrete,1/10/2025
2341A,96850.502,2247891.477,P,12mm iron peg in concrete,1/10/2025
2341B,96828.264,2247892.756,P,12mm iron peg in concrete,1/10/2025
2341C,96827.162,2247894.389,P,12mm iron peg in concrete,1/10/2025
2341D,96827.882,2247902.821,P,12mm iron peg in concrete,1/10/2025
2341E,96831.713,2247910.919,P,12mm iron peg in concrete,1/10/2025
2341F,96840.286,2247914.605,P,12mm iron peg in concrete,1/10/2025
2342A,96791.373,2247865.263,P,12mm iron peg in concrete,1/10/2025
2342B,96776.069,2247865.786,P,12mm iron peg in concrete,1/10/2025
2342C,96772.695,2247872.13,P,12mm iron peg in concrete,1/10/2025
2342D,96776.52,2247886.058,P,12mm iron peg in concrete,1/10/2025
2342E,96783.619,2247888.922,P,12mm iron peg in concrete,1/10/2025
2343A,96811.908,2247864.314,P,12mm iron peg in concrete,1/10/2025
